,basin_0,basin_1,basin_2,basin_3,basin_4,basin_5,basin_6,basin_7,basin_8,basin_9,basin_10,basin_11,basin_12,basin_13,basin_14,basin_15,basin_16,basin_17,basin_18,basin_19,basin_20,basin_21,basin_22,basin_23,basin_24,basin_25,basin_26,basin_27,basin_28,basin_29,basin_30,basin_31,basin_32,basin_33,basin_34,basin_35,basin_36,basin_37,basin_38,basin_39,basin_40,basin_41,basin_42,basin_43,basin_44,basin_45,basin_46,basin_47,basin_48,basin_49,basin_50,basin_51,basin_52,basin_53,basin_54,basin_55,basin_56,basin_57,basin_58,basin_59,basin_60,basin_61,basin_62,basin_63,basin_64,basin_65,basin_66,basin_67,basin_68
1981/1/1,0.1412,0.108455285,0.144655172,0.147,0.101666667,0.067297297,0.15,0.103425926,0.074657534,0.1075,0.186571429,0.168550725,0.07974359,0.084181818,0.100425532,0.186896552,0.086067416,0.127884615,0.135340909,0.105405405,0.137647059,0.17372549,0.109485294,0.194819277,0.219163347,0.094576271,0.164339623,0.19547619,0.109419355,0.115,0.203833333,0.083039216,0.121256831,0.106779661,0.134624277,0.213333333,0.191040462,0.152715232,0.176363636,0.104833333,0.1495,0.196321839,0.11673913,0.203461538,0.100763889,0.15173913,0.095892857,0.1528,0.198607595,0.173552632,0.186808511,0.132844828,0.139481132,0.196792453,0.044366197,0.195319149,0.186545455,0.191060606,0.191886792,0.136744186,0.179122807,0.211340206,0.1225,0.106024096,0.181449275,0.196510417,0.180792079,0.189621212,0.209864865
1981/1/9,0.1402,0.107886179,0.143534483,0.145,0.100333333,0.064864865,0.148,0.102777778,0.074109589,0.106574074,0.185085714,0.166449275,0.078717949,0.082848485,0.099255319,0.18362069,0.085842697,0.126442308,0.134318182,0.102702703,0.136134454,0.172156863,0.109852941,0.191807229,0.223505976,0.095254237,0.16327044,0.19452381,0.107677419,0.11375,0.202166667,0.087647059,0.121147541,0.108644068,0.133699422,0.212222222,0.193872832,0.153774834,0.174090909,0.105666667,0.156833333,0.199195402,0.118043478,0.199615385,0.099236111,0.159565217,0.095178571,0.1548,0.198987342,0.171578947,0.186382979,0.134913793,0.146933962,0.191886792,0.046478873,0.192765957,0.183090909,0.191212121,0.18836478,0.136046512,0.179122807,0.207525773,0.122794118,0.104939759,0.179855072,0.193385417,0.18,0.185984848,0.203783784
1981/1/17,0.1398,0.107317073,0.1425,0.144,0.099666667,0.062702703,0.146777778,0.100833333,0.072328767,0.105555556,0.181828571,0.164492754,0.076666667,0.082121212,0.09787234,0.180689655,0.085168539,0.12375,0.13125,0.101081081,0.132436975,0.169215686,0.109705882,0.186385542,0.223386454,0.095254237,0.160503145,0.190119048,0.106258065,0.112410714,0.200166667,0.091078431,0.120163934,0.110508475,0.133179191,0.206111111,0.191618497,0.153311258,0.170454545,0.107,0.164166667,0.195287356,0.119565217,0.195961538,0.098055556,0.165217391,0.094464286,0.1544,0.194683544,0.169078947,0.182553191,0.136293103,0.154575472,0.186981132,0.047746479,0.187765957,0.178909091,0.186969697,0.183836478,0.13627907,0.175614035,0.200721649,0.122205882,0.10313253,0.176304348,0.18859375,0.176039604,0.180909091,0.196891892
1981/1/25,0.1404,0.106829268,0.141896552,0.144666667,0.099333333,0.062432432,0.145888889,0.099074074,0.071506849,0.104814815,0.179942857,0.16442029,0.076410256,0.082060606,0.095531915,0.179827586,0.084831461,0.120288462,0.127840909,0.098918919,0.128991597,0.168823529,0.109485294,0.184578313,0.224103586,0.094576271,0.159496855,0.189285714,0.105096774,0.111339286,0.198833333,0.091568627,0.119071038,0.111525424,0.131734104,0.201111111,0.19017341,0.153046358,0.168863636,0.1075,0.1735,0.193218391,0.12,0.192692308,0.095902778,0.173043478,0.092321429,0.1556,0.192025316,0.166447368,0.180851064,0.139827586,0.162971698,0.183018868,0.049577465,0.184361702,0.176272727,0.184848485,0.181132075,0.137790698,0.174385965,0.19628866,0.123235294,0.10253012,0.173985507,0.186770833,0.174455446,0.176666667,0.190810811
1981/2/2,0.1406,0.107154472,0.143706897,0.147,0.098833333,0.059459459,0.148888889,0.096481481,0.070547945,0.104444444,0.18,0.166811594,0.074615385,0.081575758,0.094787234,0.182068966,0.084382022,0.116442308,0.124772727,0.096756757,0.125462185,0.17,0.109191176,0.184698795,0.22501992,0.095932203,0.159559748,0.18797619,0.105032258,0.110803571,0.197833333,0.102058824,0.120874317,0.121186441,0.131098266,0.197777778,0.189710983,0.158211921,0.168409091,0.109333333,0.216666667,0.192988506,0.123913043,0.188461538,0.097569444,0.210434783,0.090535714,0.16,0.191265823,0.165263158,0.18,0.150948276,0.206132075,0.180566038,0.05,0.181914894,0.174181818,0.184848485,0.180062893,0.139534884,0.174210526,0.194123711,0.124558824,0.102771084,0.173043478,0.186302083,0.175247525,0.174242424,0.185810811
1981/2/10,0.1436,0.108617886,0.145603448,0.149666667,0.102333333,0.063783784,0.151555556,0.096944444,0.07260274,0.105833333,0.181085714,0.170942029,0.077094017,0.083757576,0.09712766,0.18862069,0.085505618,0.116442308,0.12375,0.09972973,0.124537815,0.172941176,0.110441176,0.188915663,0.225577689,0.098305085,0.160440252,0.188690476,0.106645161,0.111160714,0.1965,0.102352941,0.121693989,0.122372881,0.131040462,0.197777778,0.190346821,0.157218543,0.168863636,0.110166667,0.2115,0.192758621,0.123478261,0.187307692,0.097847222,0.206086957,0.091071429,0.162,0.190759494,0.165526316,0.18,0.15137931,0.201179245,0.178113208,0.04943662,0.180425532,0.173,0.185909091,0.179622642,0.141744186,0.176491228,0.192474227,0.126029412,0.104337349,0.173405797,0.187135417,0.176633663,0.172348485,0.180810811
1981/2/18,0.1466,0.111056911,0.14862069,0.154,0.1065,0.07,0.156333333,0.09787037,0.075753425,0.109444444,0.183771429,0.176666667,0.08042735,0.086,0.099255319,0.195517241,0.088202247,0.117596154,0.124318182,0.102432432,0.125882353,0.176470588,0.111544118,0.19373494,0.225258964,0.100338983,0.162893082,0.189761905,0.109935484,0.113035714,0.196,0.100196078,0.12295082,0.123559322,0.132080925,0.201666667,0.191791908,0.156688742,0.170454545,0.1125,0.201833333,0.193678161,0.124565217,0.185192308,0.099513889,0.200869565,0.093214286,0.166,0.191898734,0.165263158,0.182659574,0.151206897,0.1925,0.176415094,0.04971831,0.178723404,0.172454545,0.188787879,0.183018868,0.145813953,0.179473684,0.192783505,0.129558824,0.106746988,0.176304348,0.190416667,0.18029703,0.173939394,0.179189189
1981/2/26,0.1546,0.113577236,0.153448276,0.159333333,0.111166667,0.078108108,0.163111111,0.100555556,0.079726027,0.113240741,0.187428571,0.18442029,0.085299145,0.089515152,0.10287234,0.206724138,0.095393258,0.120576923,0.125681818,0.107297297,0.127815126,0.182352941,0.116029412,0.201807229,0.227131474,0.102711864,0.166352201,0.19202381,0.11316129,0.114732143,0.196166667,0.10745098,0.125300546,0.126271186,0.132947977,0.208888889,0.194855491,0.156423841,0.171590909,0.114666667,0.1935,0.197816092,0.125217391,0.184807692,0.112777778,0.195652174,0.126785714,0.1692,0.194683544,0.166052632,0.188191489,0.151637931,0.189009434,0.175471698,0.065633803,0.178191489,0.171636364,0.192575758,0.189056604,0.15,0.183684211,0.192680412,0.133382353,0.11746988,0.18173913,0.196822917,0.185148515,0.176742424,0.178918919
1981/3/6,0.1622,0.116504065,0.159655172,0.164666667,0.118166667,0.088648649,0.170444444,0.105092593,0.084657534,0.118518519,0.196685714,0.193550725,0.091880342,0.094181818,0.108297872,0.220689655,0.098651685,0.124134615,0.129090909,0.112432432,0.131596639,0.190196078,0.118970588,0.213614458,0.233545817,0.106949153,0.171383648,0.198571429,0.118193548,0.117410714,0.1985,0.107058824,0.127923497,0.127457627,0.134508671,0.223333333,0.202601156,0.157086093,0.175,0.117,0.1875,0.206896552,0.127826087,0.185576923,0.111875,0.193043478,0.123035714,0.1736,0.201139241,0.1675,0.197340426,0.152068966,0.183443396,0.176981132,0.063521127,0.179893617,0.174090909,0.201515152,0.199245283,0.154418605,0.195087719,0.197835052,0.136176471,0.119518072,0.191666667,0.2078125,0.194158416,0.185681818,0.186216216
1981/3/14,0.1702,0.121056911,0.168017241,0.173,0.123166667,0.097027027,0.18,0.109074074,0.089178082,0.123518519,0.209885714,0.204782609,0.097264957,0.098848485,0.113829787,0.234655172,0.102022472,0.127596154,0.132613636,0.116756757,0.134621849,0.200588235,0.121838235,0.227951807,0.247410359,0.111355932,0.178301887,0.208333333,0.122322581,0.121696429,0.205,0.108333333,0.13147541,0.130169492,0.136763006,0.245,0.214971098,0.158741722,0.178409091,0.12,0.186166667,0.224597701,0.128695652,0.188653846,0.112152778,0.196956522,0.120357143,0.1804,0.213037975,0.170921053,0.215319149,0.153965517,0.181933962,0.179811321,0.062535211,0.182340426,0.176636364,0.216060606,0.215786164,0.158372093,0.21245614,0.206082474,0.140294118,0.123012048,0.208550725,0.222239583,0.206633663,0.19469697,0.193513514
