date,basin_0,basin_1,basin_2,basin_3,basin_4,basin_5,basin_6,basin_7,basin_8,basin_9,basin_10,basin_11,basin_12,basin_13,basin_14,basin_15,basin_16,basin_17,basin_18,basin_19,basin_20,basin_21,basin_22,basin_23,basin_24,basin_25,basin_26,basin_27,basin_28,basin_29,basin_30,basin_31,basin_32,basin_33,basin_34,basin_35,basin_36,basin_37,basin_38,basin_39,basin_40,basin_41,basin_42,basin_43,basin_44,basin_45,basin_46,basin_47,basin_48,basin_49,basin_50,basin_51,basin_52,basin_53,basin_54,basin_55,basin_56,basin_57,basin_58,basin_59,basin_60,basin_61,basin_62,basin_63,basin_64,basin_65,basin_66,basin_67,basin_68
2000/1/31,0.076287099,0.205762887,0.102039033,0.03644622,0.140739768,0.188858581,0.110747887,0.098152763,0.162088545,0.17685909,0.035464008,0.025113688,0.221422732,0.212454797,0.199421803,0.044585234,0.158921066,0.164529185,0.128763302,0.186908542,0.239008826,0.079095243,0.124486423,0.047519042,0.062686575,0.157072192,0.078461468,0.038494631,0.166817062,0.251780687,0.043656604,0.230457256,0.185381133,0.122817684,0.175439081,0.074816772,0.061966553,0.113647249,0.138982074,0.129804716,0.170560283,0.129662807,0.188471721,0.157651667,0.133557683,0.170857529,0.21038838,0.184113383,0.247536174,0.183101575,0.140691963,0.203404536,0.164072135,0.157293886,0.265028184,0.181538007,0.205761869,0.208553265,0.144173678,0.190315603,0.089847163,0.176812292,0.208853237,0.239015345,0.034070868,0.182138273,0.089242268,0.186998006,0.266333357
2000/2/29,0.125873261,0.321448915,0.201987521,0.131196146,0.316601409,0.355326826,0.324458652,0.36427592,0.361937829,0.371846697,0.075885292,0.127147204,0.356392736,0.332705757,0.356708065,0.181780259,0.428194315,0.398301313,0.377171865,0.341526069,0.457270974,0.177843379,0.396110971,0.108937139,0.261480033,0.515439645,0.279525462,0.168562671,0.409639526,0.433708201,0.27220479,0.626196692,0.393447806,0.402262863,0.499522147,0.452918134,0.360077322,0.325977346,0.282004713,0.352527933,0.418339972,0.376265521,0.404719051,0.307483324,0.370337567,0.374142727,0.405325949,0.358052827,0.393641235,0.352471041,0.360503399,0.440032479,0.428177932,0.367577964,0.474255845,0.373364142,0.403885453,0.332173658,0.360511419,0.489332821,0.248019468,0.393317827,0.519438206,0.489837338,0.269651134,0.50263445,0.195868386,0.329346228,0.48354592
2000/3/31,0.261292696,0.432644339,0.349299952,0.285186027,0.450396509,0.376735825,0.515256653,0.463172858,0.414792344,0.504214932,0.221600882,0.235224583,0.47113739,0.485910818,0.64586679,0.265820176,0.823273247,0.562407783,0.648427258,0.731169549,0.66405842,0.304595405,0.64545904,0.187841379,0.407262574,1.068143288,0.479523092,0.284998232,0.879169908,0.65108265,0.485366215,1.053254924,0.784847429,1.098062062,0.566614041,0.664719367,0.537223335,0.629144392,0.62050165,0.996223425,0.686705665,0.797011728,1.015037444,0.682354392,0.774280203,0.648752993,0.994834027,0.700607241,0.837316121,0.751893481,1.004855763,0.87622228,0.673385584,0.857655761,0.960547802,0.825573786,0.869426493,0.988862891,0.943226837,0.864323855,1.063190958,1.01652671,1.026861302,1.085677578,1.141367965,1.261832833,1.087711077,1.128535819,0.782847616
2000/4/30,0.229652304,0.533716831,0.337722114,0.206857519,0.51716143,0.577894237,0.525761167,0.564812281,0.579862471,0.489216897,0.280024098,0.274408653,0.487437979,0.432354768,0.463415883,0.322444852,0.578745722,0.524369139,0.55697854,0.428402641,0.514662883,0.431043368,0.500592426,0.486684827,0.641980515,0.60151821,0.486100039,0.575560628,0.559784782,0.490156138,0.859367953,0.580551112,0.559719119,0.621595615,0.588362737,1.100771911,0.948828629,0.608569535,1.073355946,0.794182844,0.453322764,1.533736703,0.786222028,1.327953744,0.963849119,0.674262151,1.132399503,0.84564887,1.804141976,1.424736345,2.200343875,0.876147403,0.727339848,1.671928629,1.100983669,1.647420378,1.672073936,2.083417184,2.054081278,1.426975947,2.306484157,1.980623069,1.45617789,1.404139731,2.211117218,2.174966842,2.229334118,3.229947082,4.190305531
2000/5/31,0.795165802,1.606656172,1.131988959,1.147124457,1.43449086,1.972470177,1.490761117,1.683113368,1.968407096,1.569654693,0.792068148,0.860877013,1.52319575,1.19805189,1.301427307,0.798012716,1.767106397,1.889059458,1.880769212,1.291244793,2.066573504,1.011764436,1.623956675,1.180391585,1.356093889,1.426728894,1.323690304,1.494515913,1.52591907,1.374015356,1.752472713,1.474965229,1.351199415,1.679316033,2.150132214,1.85615298,1.987744774,1.76573213,1.519496536,1.689175204,2.125224844,1.951545639,1.754749414,1.715666087,1.666204027,2.22411619,2.014607184,2.100282107,2.762559264,1.678614578,2.217162173,2.211240994,1.871839997,2.244414054,1.998114147,1.943866881,2.521614184,3.107147957,2.027682787,2.217306086,2.966246889,3.083810617,2.907570182,2.630004386,2.722290441,2.603762555,2.968035312,3.060288797,3.178476595
2000/6/30,2.951112011,3.050192565,3.056506972,3.089758189,3.214155394,5.192926783,4.204646263,5.037267805,4.787845981,3.42789599,3.17189871,4.11097623,3.902806624,3.414662766,2.665431313,4.911741282,3.807792731,5.239571427,5.798973237,2.929647033,5.430019217,5.034890895,4.967597528,5.149820258,4.466012004,3.047894308,5.211791822,5.653213027,3.143805444,4.540469713,5.034438936,4.230768313,4.18798129,3.085859363,5.223786225,4.849229441,4.915365317,4.85649657,4.727227061,3.109684563,4.456879519,5.217426907,2.968397501,4.748168711,4.461599134,5.75872256,4.145074563,6.705641308,5.148413643,5.054121084,6.470413552,4.762615768,5.307335357,6.260566567,4.360511896,5.762363426,4.992695444,6.555781587,3.83436321,6.934728731,5.407600536,6.217992535,5.728506672,5.281620673,5.044973904,4.533785751,5.522473858,5.764270902,6.052349167
2000/7/31,3.247387863,3.824311744,3.54241137,2.30299869,3.350798118,2.76061393,3.231771629,3.159996582,2.774009407,3.482259967,2.216793201,2.750721206,2.462678444,2.311317586,3.03623267,2.431110254,3.375408187,3.02224418,3.581155543,2.703539225,2.717007664,2.140786753,3.035056349,2.151266697,2.119391928,2.873999329,2.768424095,2.244691768,2.656896362,2.367475794,2.335680284,2.932650325,2.38288632,1.946129081,2.467523708,2.493694435,2.735651298,2.115660339,2.06721142,2.143796038,2.683536783,2.340968407,2.323024972,3.14833579,2.145772903,2.788138753,2.943790755,2.612395642,3.469469385,2.881384763,3.700148385,2.476723009,2.377831424,3.974851727,2.915425878,3.629120915,3.655801479,3.669470105,2.403095214,2.672054933,3.408054897,3.109765175,2.520258188,2.487769258,3.049478267,3.184998296,3.0861314,3.088143566,4.129895813
2000/8/31,1.490669524,2.029061824,2.248697605,2.147603335,2.213676139,3.399358139,2.754245394,2.936614157,3.274890597,2.355223825,2.578735007,2.658169327,2.867245268,3.329349983,2.306465681,2.544235189,2.584832809,2.674658769,2.845997675,2.578635977,2.611263724,2.616297231,3.22995838,2.86753268,2.887588415,2.612394313,3.179926129,3.368399759,2.655368723,2.830975376,3.209420407,2.755602606,3.040498786,2.905928928,2.511066495,4.49257289,3.38691235,3.448959101,3.593050829,3.121652612,3.829770737,4.818360334,3.046481185,3.194484187,3.134552966,4.102483392,3.600945544,3.949434119,4.20637353,4.270013756,5.465200531,3.980355122,4.138612638,3.93972853,4.042048573,4.064703606,3.746671895,4.338829353,4.610875665,4.723527755,4.471616794,3.677525932,4.509742092,4.503380916,5.632337505,5.223612472,6.665589835,8.03808603,7.610300306
2000/9/30,2.254704293,2.291645634,2.382795886,2.116044894,2.454755969,2.534616281,2.770313396,2.968164831,2.640064567,2.403453133,1.965522915,2.409759135,2.596793736,2.658116837,2.703179539,2.319430574,2.676103029,3.015661312,3.456217938,2.534423901,3.267948126,3.2006619,3.109748448,2.954791012,3.907670353,2.302496447,3.391402196,3.786871298,2.621794815,2.981386041,4.92393498,2.711338472,2.81500567,2.63171643,3.831527342,5.669451819,4.734108741,3.899458761,3.423020664,2.717149548,3.526525016,6.018473803,2.586259505,3.869825341,3.241541938,3.562594031,3.137693852,3.880430984,4.517904639,3.216346551,5.830448817,3.453718768,3.512146008,3.436283318,3.525652874,3.412799058,4.035717709,4.435698863,6.269782314,4.214655682,4.320875852,3.811554987,4.08941602,4.035135436,4.895713693,4.990581302,4.185628388,4.72475584,4.07386744
2000/10/31,0.524615103,0.723249529,0.659565036,0.771674814,0.835939012,0.487257591,1.241495704,0.489992146,0.5133918,1.015571574,1.137497517,0.99382459,0.548087034,0.718137794,0.804079316,1.621845891,1.26188581,0.535372877,0.60707306,0.820293886,0.636727523,1.782563484,1.509302026,1.905253658,1.989366539,1.219949337,1.684601673,1.854867495,0.924376142,0.69959715,2.109890072,1.608943706,0.674629403,0.993462047,0.778608221,1.619098343,2.058119142,1.807082309,1.932736252,0.725576853,1.252214617,1.46741107,0.603029301,2.070514384,0.760081957,0.957219934,0.642107684,1.208469805,2.470984295,2.002342971,1.817896473,0.770297172,1.65604372,1.838823239,0.794106662,1.938342071,2.020385836,2.211483461,1.686005018,1.622052275,2.189225595,1.842594752,1.337995648,1.169687464,2.69690704,2.345139455,2.176193585,2.187418176,2.225098865
